108.22741	82.60282	74.77358
111.06217	84.34038	76.03950
109.58789	83.24503	75.16321
107.89275	82.25116	74.43479
109.56027	83.34282	75.20467
110.90192	84.08788	75.46678
110.10322	83.86494	75.32766
109.37452	83.13968	74.57327
106.55377	81.89629	74.09024
103.87948	80.48520	73.26384
106.06836	81.54457	73.81376
105.06605	80.79614	73.14117
104.64421	80.56084	72.98541
107.12515	81.79442	73.68926
106.21816	81.11555	73.02074
110.54658	83.50364	74.45117
108.91517	82.99220	74.48161
105.21150	80.72630	72.82626
109.19603	82.81379	74.01137
108.02614	82.23959	73.72051
108.91773	82.61456	73.86367
108.23875	82.85876	74.55612
109.82380	83.28053	74.52427
107.41099	81.95055	73.72861
104.59810	80.21176	72.48266
104.36602	80.02674	72.35310
104.63188	80.58603	73.07608
109.71691	83.06418	74.39423
113.86678	85.53110	76.17547
115.38989	86.18451	76.76690
114.39392	85.86145	76.81980
109.25103	82.63466	73.95728
109.61032	82.77451	73.97957
108.05408	82.06305	73.67002
107.80473	82.36248	73.94374
107.95582	82.16297	73.58979
106.19824	81.86412	73.90202
103.59256	80.16638	72.60308
105.69582	81.32549	73.25166
105.74924	81.08936	72.85032
106.11466	81.49592	73.23899
108.56000	82.57111	73.72480
108.25374	82.61321	73.99246
108.56036	82.61378	73.87196
108.73526	82.63276	73.79601
111.88154	84.70314	75.38734
110.66028	84.01222	74.92966
111.97859	84.73611	75.40285
110.11375	83.57135	74.44216
111.12551	84.37079	75.12349
109.30188	83.60796	74.81137
104.34465	81.06614	73.45682
103.23241	80.24704	72.79959
102.94016	79.61860	71.99230
104.59759	80.77148	72.85497
102.94083	79.62438	72.07590
103.38729	80.11798	72.61024
105.97336	81.04640	72.76520
106.28621	81.20772	72.85784
104.89997	80.43569	72.31670
106.80532	81.19853	72.41180
108.60724	82.30675	73.17631
107.65743	81.72711	72.83647
109.61523	82.74996	73.42264
108.39052	82.29297	73.26046
108.22694	82.13881	73.11853
108.39643	82.27341	73.21965
108.98777	82.53182	73.45479
109.39274	82.77090	73.63005
108.74393	82.43701	73.45431
111.07406	84.22805	75.14190
110.69232	83.84008	74.70178
109.81694	83.04566	73.85022
109.73767	83.54451	74.65524
111.07360	84.35546	75.35389
112.64591	84.93989	75.47493
112.58132	85.31394	76.13885
116.83327	88.03336	78.77163
113.77449	87.38846	78.64136
114.38912	87.91187	79.26593
113.88620	88.87450	80.72408
113.78589	89.21650	81.04991
115.45152	90.05234	82.20441
114.05934	90.40819	82.48799
118.13482	91.65789	83.59187
114.88817	91.95778	84.59202
112.84911	93.99448	88.10337
113.99443	93.64449	87.36702
114.23908	93.89286	87.53761
114.02258	94.24608	88.06634
113.80044	93.84618	87.49928
113.07467	93.89903	87.79092
113.64763	93.33475	86.85697
114.77842	93.91028	87.35829
113.76123	94.16056	87.94876
114.64229	92.72515	85.78294
111.16098	90.25589	83.30952
112.41752	90.58597	83.42184
113.56047	89.96489	82.47588
111.10230	89.35775	82.43585
112.49757	88.09814	80.28058
112.22278	87.35575	79.31352
111.16161	85.84789	77.28916
108.59482	83.58514	75.05644
105.99428	81.57101	73.38183
106.28079	81.76521	73.49247
